PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
152,26670107,16682620,CC(C)(C)CN1[C@H](CN=C1N)CC2=CC=C(C=C2)O,Inactive,0,,,104.49,215
153,14731540,2898369,CC1C2=CC(=C(C=C2CCN1C(=O)C3=CC=CO3)O)OC,Inactive,0,,,96.63,215
154,24791941,16189687,CCOC(=O)C1(CCN(CC1)C(=O)C2=CC3=CC=CC=C3N2)CC4=CC=C(C=C4)OC,Inactive,0,,,92.13,215
155,74373530,51358939,CC1C(=O)N(C2=C(N1)N=CN=C2N3CCN(CC3)C4=CC=CC=C4)CC5=CC=C(C=C5)OC.C(=O)(C(F)(F)F)O,Inactive,0,,,94.38,215
156,17515262,12005977,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CCS(=O)(=O)C4=CC=CC=C4,Inactive,0,,,112.36,215
157,26670256,2012945,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(O3)/C=C/4\C(=O)N(C(=S)S4)CCCC(=O)O,Inactive,0,,,105.62,215
158,17510949,3537138,CCOC1=CC=C(C=C1)S(=O)(=O)N(C2=CC3=C(C4=CC=CC=C42)OC(=O)S3)C(=O)C5=CC=CO5,Inactive,0,,,108.99,215
159,17433191,2837086,CC1(C2CCC1(C(=O)N(C2=O)C3=CC(=CC=C3)Cl)C)C,Inactive,0,,,102.25,215
160,22416421,887488,C1=CC=C(C(=C1)C(=O)COC(=O)C2=NC=CN=C2)Cl,Inactive,0,,,100,215
161,22407194,3576709,CC(C)CC(C(=O)OCC(=O)NC1=CC(=CC=C1)Cl)N2C(=O)C3CC=CCC3C2=O,Inactive,0,,,102.25,215
162,49675915,16275931,C1CC1NC(=S)/N=C/2\N(C=CS2)CC3=CC=CC=C3,Inactive,0,,,101.12,215
163,22414325,992317,CC1=C(C=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)Cl)S(=O)(=O)N(C)CC(=O)O,Inactive,0,,,101.12,215
164,49733127,135417818,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=C(C=C4)F)S(=O)(=O)C5=CC6=C(C=C5)OCCO6,Inactive,0,,,94.38,215
165,22414432,847839,CSC1=NC2=C(S1)C=C(C=C2)S(=O)(=O)N,Inactive,0,,,101.12,215
166,49676069,6915337,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC2CCOC2=O,Inactive,0,,,106.74,215
167,17507357,3106651,CC1=C(NC(=S)NC1C2=CC=CC=C2)C,Inactive,0,,,103.37,215
168,24781772,1261783,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=NC3=C2C=C(C=C3)Cl)C4=CN=CC=C4,Inactive,0,,,91.01,215
169,17434136,9587631,COC1=C(C=C(C=C1)Cl)C(=O)O/N=C(/C2=CC=C(C=C2)Cl)\N,Inactive,0,,,113.48,215
170,4245105,3239613,CC1=C(C(=O)N2C(=N1)C(=CN2)C(=O)NCC3=CC4=C(C=C3)OCO4)CC5=CC=CC=C5F,Inactive,0,,,84.27,215
171,49668730,24761406,CN\1C2=C(C=CC(=C2)OC)S/C1=C\C3=CC=CC=[N+]3C.[I-],Inactive,0,,,195.51,215
172,24832669,2441497,C1CN(CC2=CC=CC=C21)C(=S)NCC3=CC=CC=C3,Inactive,0,,,93.26,215
173,49828006,7841794,CC1=CC=CC=C1OCCC(=O)OCC(=O)C2=C(N(C(=O)N(C2=O)C)CC(C)C)N,Inactive,0,,,98.88,215
174,24831797,4011297,CC1=CC(=C(C(=C1)C)OCC(=O)NC2=NC(=CS2)C3=CC=CC=N3)C,Inactive,0,,,100,215
175,845593,647949,C1CN(CCN1CCC#N)C(=S)C2=CC=C(O2)C3=CC(=C(C=C3)Cl)Cl,Inactive,0,,,104.49,215
176,24831762,5016899,CC1=NC(=CC=C1)NC(=O)C2=CC3=C(S2)C=CC(=C3)[N+](=O)[O-],Inactive,0,,,98.88,215
177,49667041,24761146,CC1=CC2=C(C=C1)NC=C2/C=C/C3=CC=[N+](C=C3)C.[I-],Active,100,,,907.87,215
178,26670463,16682659,CCC(=O)N1CCC2(CC1)C3(CC(=NO3)C4=CC=C(C=C4)Cl)C(=O)C5=C(O2)C=CC(=C5)Cl,Inactive,0,,,106.74,215
179,49668523,358849,COC1=CC=C(C=C1)C(=O)CC(=O)C(=O)NC2=CC=C(C=C2)Cl,Inactive,0,,,82.02,215
180,26661132,16682181,C1CN(CCC12C3(CC(=NO3)C4=CC=C(C=C4)Cl)C(=O)C5=C(O2)C=CC(=C5)F)C(=O)C6=CC7=C(C=C6)OCO7,Inactive,0,,,106.74,215
181,49646897,1310679,C1COCCN1CC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,Inactive,0,,,93.26,215
182,24808229,5757797,CCCCN1C(=O)/C(=C/C=C\2/C=CC3=CC=CC=C3N2CC)/SC1=S,Inactive,0,,,68.54,215
183,26660707,16682129,CC(C)C(=O)N1CCC2(CC1)C3(CC(=NO3)C4=CC=CC=C4)C(=O)C5=C(O2)C=CC(=C5)F,Inactive,0,,,97.75,215
184,26667673,650601,CC1=CC(=NO1)NC(=O)CCC(=O)N(C2CC2)C(C3=C(C(=CC=C3)OC)OC)C(=O)NC(C)(C)C,Inactive,0,,,96.63,215
185,17507277,1142103,COC1=CC2=C(C=C1)C=C(C(=O)N2)CN(CC3=CC4=C(C=C3)OCO4)C(=S)NC5=CC=CC=C5C(=O)OC,Inactive,0,,,98.88,215
186,87337183,2320031,C1=CC=NC(=C1)/C=C\2/C(=O)N(C(=S)S2)NC3=C(C=C(C=N3)C(F)(F)F)Cl,Inactive,0,,,100,215
187,49732450,24793153,CC1(CC(C2=C(C1)N(N=C2)C3=CC=CC=C3)NC(=O)C4=C(C=C(C=C4)OC)OC)C,Inactive,0,,,100,215
188,24794581,2214458,CC1=CC(=CC(=C1OC)C(=O)NC2=CC=CC=C2N3CCN(CC3)C(=O)C4=CC=CC=C4)Br,Inactive,0,,,105.62,215
189,17507597,1135561,CC1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CSC3=NN=C4N3C5=CC=CC=C5C=C4C,Inactive,0,,,95.51,215
190,3713505,2677622,CC1=CC(=C(C(=C1)C)OCC(=O)NC2=CC=CC=C2N3CCOCC3)C,Inactive,0,,,86.52,215
191,3714805,1555849,C=CCN1C(=O)C2=CC=CC=C2N=C1SCC#N,Inactive,0,,,93.26,215
192,22401613,9661040,C1=CC=C(C=C1)/C=C(/C=N/NC2=NC3=CC=CC=C3N2)\Br,Inactive,0,,,94.38,215
193,24807876,16192868,CCCCC1(CC(OC1=O)CSC(=N)N)C(=O)OCC.Br,Inactive,0,,,92.13,215
194,22403305,2299020,C/C(=C\C1=CC=CC=C1)/C=C(\C#N)/C(=O)NCCOC,Inactive,0,,,98.88,215
195,26726257,5937089,CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=C(N(N=N2)C3=NON=C3N)COC4=CC=C(C=C4)F,Inactive,0,,,91.01,215
196,17402725,2768229,CCN1C(=NN=C1SCC2=CC=C(C=C2)F)C3=C(N(N=C3)C4=CC=CC=C4)C(F)(F)F,Inactive,0,,,101.12,215
197,49679608,2276396,CC1=C(C2=C(C=C1)N3C(=O)/C(=C/C4=CC=C(O4)C5=CC=CC=C5C(=O)O)/SC3=N2)C,Inactive,0,,,102.25,215
198,17505331,773154,COC1=CC=C(C=C1)C2=CC(=O)N(N2)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,86.52,215
199,14741539,1891621,COC1=CC=CC=C1/C=C\2/C(=O)N3C(=NC(=N3)C4=CC=CC=C4OC)S2,Inactive,0,,,100,215
200,26661268,16682210,C1CN(CCC12C3(CC(=NO3)C4=CC=CC=C4)C(=O)C5=C(O2)C=CC(=C5)F)C(=O)C6=CC7=C(C=C6)OCO7,Inactive,0,,,92.13,215
201,26665486,16682437,CC[N+](C)(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Br-],Inactive,0,,,100,215
202,14731964,9550192,CC1=CC(=CC=C1)C2=NC3=CC=CC=C3C(=O)N2NCC4=C(C=CC(=C4)OC)OC,Inactive,0,,,89.89,215
203,22408297,2413592,C1C(=O)N(C(=O)S1)CCNC(=O)COC(=O)C2=CC(=CC=C2)Cl,Inactive,0,,,95.51,215
204,56320808,10140115,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl,Inactive,0,,,96.63,215
205,24817201,1473928,C1=CC=C(C=C1)CN2C=CC=C(C2=O)C(=O)NC3=C(C=C(C=C3F)F)F,Inactive,0,,,102.25,215
206,49822247,8246695,COC1=CC=C(C=C1)CCOC(=O)C2=CC(=C(C=C2)N)[N+](=O)[O-],Inactive,0,,,102.25,215
207,17504252,1967895,CC1=CC=CC=C1OCCN2C(=NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)OC,Inactive,0,,,104.49,215
208,49723912,5334436,C1=CC=NC(=C1)C(=O)N/N=C/C2=CC=C(C=C2)OC(=O)C3=CC=C(C=C3)Br,Inactive,0,,,101.12,215
209,49826142,24819171,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NOC(=C2)COC3=C(C=CC=C3F)F,Inactive,0,,,92.13,215
210,49825414,5733585,COC1=C(C=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)NC3=CC=CC(=C3)C(=O)O)OC,Inactive,0,,,96.63,215
211,50085685,9676659,CCOC1=CC=C(C=C1)C2=C(N=NN2C3=NON=C3N)C(=O)N/N=C(\C)/C4=CC=CC=C4OC,Inactive,0,,,97.75,215
212,51085337,4066233,CC1(CC2=C(C(N1)(C)C)SC(=C2C(=O)N)NC(=O)COC3=C(C=C(C=C3)Cl)Cl)C,Inactive,0,,,102.25,215
213,51086598,16825521,COC1=CC=C(C=C1)S(=O)(=O)N2CCOC2CNC(=O)C(=O)NCC3=CC4=C(C=C3)OCO4,Inactive,0,,,97.75,215
214,24808355,9591461,C/C(=N\NC(=O)CCCNC1=CC=CC=C1)/C2=CC=NC=C2,Inactive,0,,,96.63,215
215,51090165,16825520,COC1=CC=C(C=C1)CNC(=O)C(=O)NCC2N(CCO2)S(=O)(=O)C3=CC=C(C=C3)OC,Inactive,0,,,101.12,215
216,24821581,2776488,C1=CC(=CC=C1C=O)N2C=NC=N2,Inactive,0,,,96.63,215
217,49736347,3216595,CC1=CC(=NO1)NC(=O)CCC(=O)N(C2=CC(=CC=C2)F)C(C3=CC=C(C=C3)OC)C(=O)NC(C)(C)C,Inactive,0,,,87.64,215
218,22408092,2091956,CC1=CC=C(C=C1)C(=O)OCC(=O)NCCN2C(=O)CSC2=O,Inactive,0,,,101.12,215
219,49733231,135477534,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)S(=O)(=O)C5=CC=CC=C5F)N=N2,Inactive,0,,,104.49,215
220,22411715,15945483,CC1=CC=C(C=C1)NC2=C(N=C3N2C=CC=N3)C4=CC=C(C=C4)N5CCOCC5,Inactive,0,,,107.87,215
221,17514009,4366066,CCOC1=CC2=CC(=C(N=C2C=C1)Cl)C3CC(=NN3C(=O)C4=CC=CS4)C5=CC=CC=C5,Inactive,0,,,95.51,215
222,26671331,135650601,C1=CC(=CC=C1/C=C/2\C(=O)N(C(=S)S2)/N=C/C3=CC=C(C=C3)O)O,Inactive,0,,,96.63,215
223,24789272,890666,C1=CC=C(C(=C1)/C=C/C(=O)NCCC2=CC=C(C=C2)F)[N+](=O)[O-],Inactive,0,,,87.64,215
224,26659959,980050,CN(C)C(=O)CSC1=NC2=C(S1)C=C(C=C2)N3C(=O)C4=CC=CC=C4C3=O,Inactive,0,,,89.89,215
225,17385694,6876716,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N/N=C/C2=C3C(=CC=C2)OCCO3)C4=CC=CC=C4F,Inactive,0,,,89.89,215
226,26728372,2809448,CC1=CC(=NN1C(C)(C)C)C(=O)NNS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C,Inactive,0,,,101.12,215
227,24819432,5051334,CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,Inactive,0,,,100,215
228,24841471,164754,CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,Inactive,0,,,92.13,215
229,4260462,2219800,CC1=CC=C(C=C1)SCC(=O)N(CC2=NC(=NO2)C3=CC=CC=C3)C(C)C,Inactive,0,,,98.88,215
230,56317841,24980084,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CCC4[C@]3(CCC5[C@]46CC[C@](C5(C)C)(OC6)O)C)C2[C@H]1C)C)C(=O)O,Inactive,0,,,104.49,215
231,49826528,24819381,CC1=CC(=CC(=C1)N2C3=C(C=N2)C(CCC3)NC(=O)C4=C(N=CC=C4)OC)C,Inactive,0,,,100,215
232,26664961,234845,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,106.74,215
233,49667176,1512476,COC1=CC=C(C=C1)NC2=NC(=C(S2)C(=O)C3=CC=C(C=C3)F)N,Inactive,0,,,97.75,215
234,26657953,96943,CC1=CC2=C(C3=C1OC(C=C3)(C)C)NC4=CC=CC=C42,Inactive,0,,,95.51,215
235,24797341,2187440,CC1=C(C=CC(=C1)N2CCCC2)/C=C\3/C(=O)N(C(=S)S3)CCOC,Active,100,,,317.98,215
236,24841069,666638,C1=COC(=C1)CN2C(=NN=C2SCC(=O)NC3=C(C=C(C=C3)Cl)Cl)CC4=CC=CS4,Inactive,0,,,101.12,215
237,17412455,135432715,C1CCN(CC1)/N=C/C2=C(NC3=CC=CC=C32)O,Inactive,0,,,102.25,215
238,7976121,1341381,CC(=O)C1=C(NC(=NC1=S)C2=CC=CC=C2)N3CCN(CC3)CC4=CC=CC=C4,Inactive,0,,,104.49,215
239,22403399,2371085,COC1=CC=C(C=C1)NC(=O)/C(=C/C2=CC=C(C=C2)OCC3=CC=CC=C3F)/C#N,Inactive,0,,,95.51,215
240,26724781,3237416,CC(=O)NCCN1C(=O)C2=CC=CC=C2N=C1SCC(=O)NC3=C(C=CC(=C3)OC)OC,Inactive,0,,,101.12,215
241,49719868,20957467,C1CC(=O)N(C1)CCCNC2=NN3C(=NN=C3CCC(=O)N4CCN(CC4)C5=CC=CC=C5)C=C2,Inactive,0,,,98.88,215
242,17407662,730639,CCCC(=O)NC1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=CS2,Inactive,0,,,88.76,215
243,49730637,20961961,CCCC1=NN2C(=O)C=C(N=C2S1)CSCC(=O)NC3=CC=C(C=C3)F,Inactive,0,,,100,215
244,17387926,5285231,CC1=CC=C(C=C1)/C=C/2\CCC3=C2OC(=C(C3C4=CC=C(C=C4)C)C#N)N,Inactive,0,,,117.98,215
245,57263013,6219615,C1=CC(=CC(=C1)C(F)(F)F)/C=C/C(=O)OCC(=O)NC2=NC=C(C=C2)Cl,Inactive,0,,,102.25,215
246,24828898,2540454,C=CCN1C(=O)C2=CC=CC=C2N=C1SCC3=CC(=O)N4C=CSC4=N3,Inactive,0,,,89.89,215
247,85148581,44143923,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)NCC3CC3)C4=CC=CC(=C4)C#N,Inactive,0,,,100,215
248,17414224,5378081,CN(C)C1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3S2,Inactive,0,,,97.75,215
249,85200898,44202018,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)C(=O)NC4=CC=C(C=C4)OC)[C@H](C)CO,Inactive,0,,,101.12,215
250,56463155,54736625,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C\C3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)[O-])O)C(=O)O,Active,100,,,1912.36,215
251,51086605,16825529,COC1=CC=C(C=C1)CNC(=O)C(=O)NCC2N(CCO2)S(=O)(=O)C3=CC=CC=C3,Inactive,0,,,102.25,215
252,14730109,1482776,CC1=C(C=CC(=C1)Cl)OC2=NC=C(S2)CN3CCN(CC3)C4=CC=CC=C4,Inactive,0,,,92.13,215
253,49827125,839538,CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CO3,Inactive,0,,,92.13,215
254,17388582,2116743,C1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)N3CCOCC3)C(=O)NC4=CC=CC=C4Cl,Inactive,0,,,97.75,215
255,3712552,2998068,CCOC(=O)C1=C(NC(=O)NC1C2=CC=CC=C2)CS(=O)(=O)C3=CC=CC=C3,Inactive,0,,,89.89,215
256,24779813,1894896,C1=CC=C(C=C1)CS(=O)(=O)NC2=NC(=C(S2)C3=C4C=CC=CC4=NC3=O)O,Inactive,0,,,96.63,215
257,49825613,24819005,CC1=CC(=CC(=C1Cl)C)OCC2=CC(=NO2)C(=O)N(C)CC3=CC=CC=N3,Inactive,0,,,89.89,215
258,861459,662702,CC1=CC(=C(C(=C1)Cl)NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=NC=C4)C,Inactive,0,,,92.13,215
259,49665230,819865,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)O)[N+](=O)[O-],Inactive,0,,,138.2,215
260,26727164,2740675,C1C(SC2=CC=CC=C2NC1=O)C3=CSC=C3,Inactive,0,,,88.76,215
261,49732085,24792966,CC(C)(C)C1=CC=C(C=C1)N2C3=C(C=N2)C(CCC3)NC(=O)C4=NC=CN=C4,Inactive,0,,,106.74,215
262,22413400,5045574,C1CC(=O)C(=C2SCCCS2)C(=O)C1,Inactive,0,,,91.01,215
263,14727435,9665599,C/C(=N\NC(=O)C1CC1(C)C2=CC=CC=C2)/C=C/C3=CC=CC=C3,Inactive,0,,,94.38,215
264,17514371,1989353,CC1=CC=CC=C1OCC2=NN3C=NC4=C(C3=N2)C5(CCCC5)CC6=CC=CC=C64,Inactive,0,,,88.76,215
265,22405569,2642268,C1COCCN1C2=CC=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=C(C=C(C=C5)F)F,Inactive,0,,,104.49,215
266,22415130,1309387,C1CCN(C1)C(=O)C2=CC=CC=C2NC(=O)CCSC3=CC=CC=C3,Inactive,0,,,100,215
267,17503772,1227448,C1=CC(=CC(=C1)C(F)(F)F)C2=CC=C(O2)/C=C\3/C(=O)OC(=N3)C4=CC=CO4,Inactive,0,,,93.26,215
268,22416689,2892293,CC1=C(C=C(C=C1)N2C(=NN=N2)SC)Cl,Inactive,0,,,100,215
269,17431928,5400057,CC1=C(SC=C1)/C=N\NC(=O)C2=NNC3=C2CCC3,Inactive,0,,,86.52,215
270,858697,5389210,CN(C)CCN1C(/C(=C(/C2=CC=C(C=C2)OC)\O)/C(=O)C1=O)C3=C(C(=CC=C3)OC)OC,Inactive,0,,,101.12,215
271,49717073,16022663,CCC(C(=O)NC1=C(C=CC(=C1)F)F)N2C(=O)C3=NN(C(=C3C(=N2)C)C)C4=CC=C(C=C4)C,Inactive,0,,,83.15,215
272,22401452,15944772,COC1=CC=C(C=C1)C2=CC(=NN2)N3C(=O)NC4=CC=CC=C4N3O,Inactive,0,,,97.75,215
273,24781861,4598533,CC1=CC(=CC=C1)NC(=S)N(CCN(C)C)CC2=CC=CS2,Inactive,0,,,88.76,215
274,22408952,6307384,COC1=C(C=CC(=C1)/C=C/C(=O)OCC(=O)NCC2CCCO2)OCC#N,Inactive,0,,,97.75,215
275,14745049,2418641,CC1=CC(=C(N1CC(C)C)C)/C=C(\C#N)/C(=O)OCC(=O)NC(=O)NCC=C,Inactive,0,,,100,215
276,17433553,1349192,C1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)NC(=S)NC(=O)C3=CC=CS3,Inactive,0,,,91.01,215
277,24790954,5730061,C1=CC=C2C(=C1)N=C(S2)/C(=C/C3=CC=CC=N3)/C#N,Inactive,0,,,159.55,215
278,17431865,5339990,C1=CC(=CC=C1/C=N/NC(=O)COCC(=O)N/N=C/C2=CC=C(C=C2)F)F,Inactive,0,,,94.38,215
279,26724378,4284967,COC1=CC(=CC(=C1OC)OC)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)O,Inactive,0,,,102.25,215
280,17506984,16088,C1=CC=C(C=C1)NC2=NC(=NC(=N2)Cl)NC3=CC=CC=C3,Inactive,0,,,101.12,215
281,85146844,44142700,CC(C)(C)OC(=O)NCC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NCCCCCCNC(=O)C3=C(N=CN3)C(=O)NC4=CC=C(C=C4)CNC(=O)OC(C)(C)C,Inactive,0,,,105.62,215
282,3715124,2873386,CCN1C(=CN=C1C2=CC=CC=C2)SCC.Cl,Inactive,0,,,86.52,215
283,49673265,254007,C1=CC=C2C(=C1)C=CC3=C2C=C(C=N3)[N+](=O)[O-],Inactive,0,,,94.38,215
284,24815096,4607897,CC(=O)N1CCC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=C(C=C3)OC,Inactive,0,,,98.88,215
285,7971418,5310465,COC1=CC(=C(C=C1)C2=NC(=C3C(=N2)N(C(=O)N3)C4=CC=CC=C4OC)C(=O)N)OC,Inactive,0,,,98.88,215
286,56316005,24979204,CC1=CC=C(C=C1)C2=NN(C=C2/C=C/C(=O)N(C)CC(=O)NC3=CC=C(C=C3)OC)C4=CC=CC=C4,Inactive,0,,,91.01,215
287,49672150,16287776,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)NC3=CC(=CC=C3)S(=O)(=O)N(C)C,Inactive,0,,,100,215
288,24816744,4321221,CC1=CC2=CC=CC=C2N1CCNC(=O)C3=CC=C(O3)Br,Inactive,0,,,100,215
289,49733036,135417735,CC1=CC(=C(C=C1)C)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)S(=O)(=O)N(C)C)N=N2,Inactive,0,,,93.26,215
290,17433516,5722484,CC1=CC=C(C=C1)OCC(=O)N/N=C/C2=CC(=C(C=C2)OC(=O)C3=CC=CS3)OC,Inactive,0,,,86.52,215
291,17414181,167212,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)O)O,Inactive,0,,,144.94,215
292,49671463,725576,C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)C(=O)N,Inactive,0,,,98.88,215
293,49647303,16395151,C[C@]12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5=CC(CC[C@]35/C=N/O)O,Inactive,0,,,102.25,215
294,47202287,1363691,COC1=C(C=C(C=C1)CC(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)Br)OC,Inactive,0,,,98.88,215
295,49723625,2965575,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC(=NC4=C3C=C(C=C4)Br)C5=CC=CC=C5Cl,Inactive,0,,,91.01,215
296,49642773,24746917,CCN(CC)CC1=C(C=CC2=C1OC=C(C2=O)C3=CC=CC=C3)O.Cl,Inactive,0,,,93.26,215
297,4242581,3237415,C1CCN(CC1)CCCN2C(=O)C3=C(C=CC(=C3)N4CCOCC4)NC2=S,Inactive,0,,,96.63,215
298,4261595,2941060,CC1=CC=C(N1C2=CN=C(C=C2)N3CCOCC3)C,Inactive,0,,,98.88,215
299,85302231,3210716,CC1=CC=CC=C1C(C(=O)NC2CCCC2)N(CC3=CC=CO3)C(=O)CCC(=O)NC4=NOC(=C4)C,Inactive,0,,,85.39,215
300,49715859,135693603,CC1=C(N=NN1C2=NON=C2N)C(=O)N/N=C/C3=C(C=CC4=CC=CC=C43)O,Inactive,0,,,87.64,215
301,26726201,1918250,C1=CC=C(C=C1)CC(=O)NN2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)O)/SC2=S,Inactive,0,,,97.75,215
302,49730955,22588484,CCOC1=CC=C(C=C1)CCNC(=O)CC2=CC=C(C=C2)NC3=NC4CS(=O)(=O)CC4S3,Inactive,0,,,87.64,215
303,49714859,752809,CCN1C=CC(=N1)C(=O)NC2=C(C3=C(S2)CCC3)C(=O)OCC,Inactive,0,,,97.75,215
304,4256749,2941732,CC1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)CN4C=C(C=N4)Br,Inactive,0,,,100,215
305,57256214,16250208,CC(=O)C1=CC(=C(C=C1)OCC(=O)NC2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCOCC3)OC,Inactive,0,,,96.63,215
306,26664277,224687,CC1=CC(=C2C=C(C=CC2=N1)OC)SC3=NC4=CC=CC=C4S3,Inactive,0,,,88.76,215
307,24833602,6269458,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCCC3)OC,Inactive,0,,,107.87,215
308,24791438,1969153,C1=CC=C(C(=C1)/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)NNC(=O)C3=CC=C(C=C3)Cl)Cl,Inactive,0,,,97.75,215
309,22407851,2567972,CN(C)C(=S)SCC(=O)NC1=C(C=C(C=C1)Cl)Cl,Inactive,0,,,97.75,215
310,26658597,9619214,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)N/N=C/C3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,96.63,215
311,848018,650442,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CN4N=C(N=N4)C5=CC=C(C=C5)N6CCOCC6,Inactive,0,,,102.25,215
312,14745450,4879565,C1CC(C2=CC=CC=C2C1)NC(=O)C3=CC(=CN=C3)Br,Inactive,0,,,95.51,215
313,7974131,135449221,CC1=NC2=CC=CC=C2N3C1=CC(=C3O)CC(=O)O,Inactive,0,,,100,215
314,17513611,12005722,CCCCCCCCCCCC[N+](C)(C)CC#C.[Br-],Inactive,0,,,100,215
315,26663534,54686487,CCOC(=O)C1=C(C2=CC=CC3=C2N(C1=O)CC3)O,Inactive,0,,,100,215
316,49673230,9684637,CC1=C(SC2=NC=NC(=C12)N/N=C(\C)/C3=CC=CC=N3)C,Inactive,0,,,79.78,215
317,49649053,24747958,CC(C)CC[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C.[I-],Active,100,,,955.06,215
318,862119,663340,COC1=CC=C(C=C1)CCN2C3=C(C=C(C2=N)C(=O)NCC4=CC=CO4)C(=O)N5C=CC=CC5=N3,Inactive,0,,,104.49,215
319,24815104,54707106,CN(C)C1=CC=C(C=C1)/C=C/C(=O)C2=C(C3=CC=CC=C3OC2=O)O,Inactive,0,,,182.02,215
320,24791704,5022720,C1=CC=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)N3C=C(C=N3)C(=O)C4=C(C=CC(=C4)F)O)[N+](=O)[O-],Inactive,0,,,83.15,215
