PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,MEAN_FLUORESCENCE,STD_FLUORESCENCE
34,14743034,5778563,C1COCCN1C2=CC=C(O2)/C=C/3\C(=O)N(C(=O)S3)CC4=C(C=CC=C4Cl)F,Active,6,,,49.36,48.83
35,22406563,1527596,CCOC(=O)C1=C(SC=C1C2=CC=CC=C2)NC(=O)/C(=C/C3=CC(=C(C=C3)O)OC)/C#N,Active,32,,,263.86,221.93
36,24796254,2184268,CN(CCCOC1=CC=CC=C1Br)CC2=CC=CC=C2,Active,3,,,25.51,33.06
37,17387304,11948835,CCCN1C(=O)/C(=C/C=C\2/C(C3=CC=CC=C3N2CC)(C)C)/SC1=S,Active,23,,,193.06,159.71
38,22405109,4076033,CCCCN(C)C1=CC2=CC(=C(C#N)C#N)CCC2CC1,Active,28,,,231.71,283.52
39,17433473,5415878,CCN1C(=O)/C(=C/C2=CC=C(C=C2)N3CCCC3)/NC1=S,Active,5,,,43.56,42.89
40,14742165,1262928,CN1C2=CC=CC3=C2C(=C(C1=O)NCCC4=CC=CC=C4)C5=CC=CC=C5C3=O,Active,17,,,143.36,131.42
41,846725,649115,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)C3=NN=C(C=C3)C4=CC=CC=C4,Active,6,,,51.26,69.06
42,24820374,5524030,CC1=CC(=CC(=C1)N/C=C/C2=C(C=C(C(=O)O2)NC(=O)C3=CC(=CC=C3)Cl)C(=O)OC)C,Active,75,,,611.76,442.13
43,14745121,2313748,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)NC3=C(C=C(C=N3)C(F)(F)F)Cl,Active,48,,,391.06,244.56
44,14723512,1796110,CCCCNC1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N(C1=O)C,Active,16,,,131.86,120.39
45,17401132,9512005,C1COCCN1C2=CC=C(O2)/C=C\3/C(=O)N(C(=NC4=CC=CC=C4)S3)CCC5=CNC6=CC=CC=C65,Active,23,,,191.86,143.02
46,24826880,2320415,CCN(CC)P(=O)(C1=C(C=C(C=C1)N(C)C)NC(=O)C2=CC=CO2)NC3=CC=CC(=C3)C(F)(F)F,Active,4,,,36.56,52.23
47,24807803,5761538,CCCN1C(=O)/C(=C\C=C\2/C(C3=CC=CC=C3N2CC)(C)C)/SC1=S,Active,30,,,252.16,178.37
48,17386314,998226,CCOC(=O)C1=C(C2=C(S1)C=C(C=C2SCC(C)C)[N+](=O)[O-])N,Active,15,,,128.56,86.59
49,17510826,668639,C1=CC=C(C=C1)OC2=CC(=CC3=C2C(=O)NC4=CC=CC=C4O3)[N+](=O)[O-],Active,7,,,58.96,75.7
50,22410791,2348274,CC(C)N1C2=CC=CC=C2C(=C1O)N=NC(=O)CN3C=CC(=N3)C(F)(F)F,Active,3,,,27.96,40.06
51,24783883,16188269,CCCCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=CC=CC=C4C=C3)CC.[I-],Active,41,,,337.11,441.21
52,17432150,4686258,CNC1=NC2=CC(=C(C=C2N=C1NC)[N+](=O)[O-])[N+](=O)[O-],Active,3,,,30.46,44.45
53,14734790,2964985,CC(C)C(C1=NN=C(N1CC=C)SCCOC2=CC=C(C=C2)OC)NC(=O)C3=CC=C(C=C3)OC,Active,22,,,179.61,255.38
54,14741197,5791561,C1COCCN1C2=CC=C(O2)/C=C/3\C(=O)N(C(=O)S3)CC4=CC=C(C=C4)F,Active,4,,,40.61,39.43
55,24822843,16195322,CC[N+]1=C(C=CC2=C1C=CC(=C2)C)/C=C/C3=CNC4=CC=CC=C43.[I-],Active,7,,,61.91,74.64
56,17514053,1987642,CC1=CC(=CC=C1)N2C(=O)/C(=C/C3=CC4=C(C=C3)N(CCC4)CC5=CC=CC=C5)/C(=O)NC2=O,Active,7,,,59.41,47.63
57,24803103,5718631,CCN1/C(=C/C=C/C2=[N+](C3=C(O2)C=CC4=CC=CC=C43)CC)/OC5=C1C6=CC=CC=C6C=C5.CC1=CC=C(C=C1)S(=O)(=O)[O-],Active,28,,,228.36,187.71
58,17505942,2007903,CCOC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)NC(=O)CSC4=NC=CC=N4,Active,13,,,108.96,153.91
59,22405114,5199378,CCN(CC)C1=CC2=CC(=C(C#N)C#N)CCC2CC1,Active,4,,,39.96,46.99
60,22409753,3517787,C1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,8,,,66.91,71.25
61,14743476,1987067,CCOCCCNC1=C(C(=O)N2C=CC=C(C2=N1)C)/C=C\3/C(=O)N(C(=S)S3)CC(C)C,Active,25,,,211.21,132.48
62,17387926,5285231,CC1=CC=C(C=C1)/C=C/2\CCC3=C2OC(=C(C3C4=CC=C(C=C4)C)C#N)N,Active,10,,,87.11,3.14
63,17510327,12005182,CC\1(C2=CC=CC=C2N(/C1=C/C=C/3\C(=O)N(C(=S)S3)CC=C)C)C,Active,22,,,185.66,139.06
64,24807744,16192857,CC[N+]1=C(C=CC2=CC=CC(=C21)C)/C=C\3/N(C4=CC=CC=C4S3)C.[I-],Active,65,,,535.01,688.41
65,17412468,1352154,CC1=CC(=NC=C1)N/C=C(\C#N)/C2=NC(=CS2)C3=CC(=CC=C3)Br,Active,19,,,161.36,160.56
66,7977150,94381,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3,Active,36,,,295.76,250.36
67,14723542,669865,COC1=C(C=CC(=C1)SC)C(=O)NC2=CC=CC=C2,Active,3,,,30.06,36.95
68,24807099,5291166,CCCCN1C(=O)/C(=C/C=C\2/N(C3=CC=CC=C3O2)CC)/SC1=S,Active,52,,,423.36,325.31
69,22416193,2934654,CCCN(CCC)CCOC1=C(C=CC(=C1)C)C(C)C.C(=O)(C(=O)O)O,Active,4,,,37.31,47.63
70,4244548,2135723,C1CC2=C3C(=C4C(=C2)C=C(C(=N)O4)C(=O)NC5=CC=CC=C5)CCCN3C1,Active,81,,,666.16,626.96
71,22403228,2289039,COC1=CC=CC=C1OCCOC2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Active,10,,,81.76,93.95
72,17431710,11979294,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=C(C=CC(=C4)C)C=C3)CC.[I-],Active,15,,,129.81,141.53
73,22411063,2316520,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)NCC4=CC=CC=N4,Active,18,,,148.71,197.11
74,22406960,2537079,C1=CC=C(C=C1)CCNC(=O)COC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,Active,3,,,31.41,42.26
75,24791387,135433205,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)NC(=N2)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,11,,,93.71,56.82
76,17510584,619981,CC(C)CSC1=CC(=CC2=C1C(=C(S2)C(=O)OC)N)[N+](=O)[O-],Active,13,,,112.11,75.91
77,14744491,135512373,CC\1=NC2=CC=CC=C2/C1=C\C3=C(OC(=N3)C4=CC=C(C=C4)C(F)(F)F)O,Active,24,,,201.26,214.3
78,4256765,1294294,C1COCCN1C2=C(C=C(C=C2)C(=O)C3=CC=CC=C3)NC(=O)C4=CC=CO4,Active,4,,,32.91,46.78
79,17433981,1213138,CC1=CC=CC=C1N2C(=O)C3=C(N=C4CCCCC4=C3)N=C2SCC(=O)NC5=CC=CC=C5,Active,11,,,91.16,125.48
80,17512989,1936517,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)C)NC(=O)/C(=C/C3=CC(=C(C=C3)O)OC)/C#N,Active,27,,,221.76,187.28
81,17412977,5346216,CN(C)C1=CC=C(C=C1)/C=C/C(=O)C2=CC(=CC=C2)Br,Active,12,,,103.11,106.46
82,17508313,741765,CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Active,20,,,169.26,0.81
83,4244400,5938244,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N3C(=NC(=N3)C4=CC=CC=C4)S2,Active,7,,,61.21,27.41
84,24788504,831933,C1=CC(=C(C(=C1)F)C(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-])F,Inactive,0,,,-5.69,4.84
85,14732224,6624259,CCC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCCC(=O)N4CCCC4,Inactive,0,,,-5.59,4.84
86,14735861,2038131,CCSC1=NC2=CC(=C(C=C2C(=O)N1CCC3=CC=CC=C3)OC)OC,Inactive,0,,,0.56,2.31
87,14742256,910055,CON1C2=C(C3=NO[N+](=C3CC2)[O-])N=C1C4=CC=CC=C4,Inactive,0,,,-2.99,1.58
88,14746574,5216640,CCCCN(CC)C1=C(C2=CC(=NC(=C2C(=N1)N)N)OCC)C#N,Inactive,0,,,-2.59,0.88
89,24785653,19580261,CCN1C=C(C(=N1)C)/C=C/2\C(=O)N3C4C(C(N=C3S2)(OC5=CC=CC=C45)C)C(=O)OC,Inactive,1,,,12.76,15.6
90,17504141,3798374,C1=CC=C(C(=C1)C2=CC=C(O2)C3C(C(NC(=O)N3)(C(F)(F)F)O)C(=O)C4=CC=C(C=C4)F)[N+](=O)[O-],Inactive,1,,,12.76,16.59
91,17506700,893634,CC1=CC=CC=C1CSC2=NC(=C3C=C(C=CC3=N2)OC)C,Inactive,0,,,7.11,8.74
92,17506947,1601677,CC1=CC(N2C3=C1C=C(C=C3C(=O)C2=O)OC(=O)C4=CC(=C(C=C4)OC)OC)(C)C,Inactive,0,,,7.41,6.48
93,7972456,2911999,CC1=CC(=C(C=C1)OCC(CN2CCN(CC2)CC(COC3=C(C=C(C=C3)C)Cl)O)O)Cl,Inactive,2,,,22.41,24.58
94,17509379,717872,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=C(O3)Br)[N+](=O)[O-],Inactive,0,,,0.61,1.24
95,24804288,766246,C1=CC=C(C=C1)N2C(=C(NC2=O)Cl)C=O,Inactive,0,,,-0.94,0.52
96,17433936,2947645,CC1=CC=C(C=C1)SC(C)C(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])OC,Inactive,0,,,3.81,4.64
97,17514728,1993878,CCN1C(=O)C2=C(N=C3CCCCC3=C2)N=C1SCC4=CC=CC=C4Cl,Inactive,0,,,6.21,6.9
98,4265275,897033,C1OC2=C(O1)C=C(C=C2)NC(=O)NC3=CC(=CC=C3)Cl,Inactive,1,,,11.51,13.69
99,4261027,2969019,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC=C4,Inactive,2,,,24.36,22.1
100,17513219,4204897,C1=CC=C2C(=C1)C=CC(=N2)C3=NNC(=S)N3C4=CC5=C(C=C4)N=CC=C5,Inactive,2,,,20.16,21.11
101,24826867,4285887,COC1=CC(=CC(=C1OC)OC)C(=O)NC(CCSC)C(=O)OCC2=CC(=CC3=C2OCOC3)[N+](=O)[O-],Inactive,0,,,0.01,0.4
102,22407590,2093985,CC1=CC(=C(N1C2=CC=C(C=C2)OC)C)C(=O)COC(=O)C3=CC(=C(C=C3NC(=O)C4=CC=CS4)OC)OC,Inactive,0,,,2.26,3.72
103,22410905,5131866,CC(C)C(C(=O)OCC1=CC(=CC2=C1OCOC2)[N+](=O)[O-])NS(=O)(=O)C3=CC=CC=C3,Inactive,0,,,-0.99,1.02
104,858625,11838891,C1=CC(=C(C=C1Cl)C2=CC=C(O2)/C=N/C3=NC=NN3)Cl,Inactive,0,,,-0.64,0.81
105,24787820,891541,CCC(=O)NC1=CC=CC(=C1)C(=O)OCC2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,-1.84,2.36
106,17509358,3584569,CCOC(=O)C1=C(C2=C(S1)C=C(C=C2SCCO)[N+](=O)[O-])N,Inactive,0,,,-0.69,1.02
107,17512292,979574,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=C(O2)C3=C(C(=CC=C3)Cl)Cl)C(=O)OC,Inactive,0,,,-1.34,1.65
108,17432956,2882008,CC\1=NN(C(=O)/C1=C\N(C)C)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,-0.59,0.88
109,17433005,1769903,C1=CC=C(C=C1)CCCNC(=O)NC2=CC(=CC=C2)Cl,Inactive,0,,,-1.69,2.15
110,17433249,1184262,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C(=N3)SCC(=O)N(C)C)CC4=CC=CC=C4,Inactive,0,,,-0.99,1.3
111,17511853,3819689,CC(C)CC(C(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=C(C=C3)[N+](=O)[O-])NC(=O)OC(C)(C)C,Inactive,0,,,-1.89,2.15
112,22409793,2401094,CC1=CC(=NN1C2=NC(=C(C=C2)Cl)C(=O)NC3=C(C=CC(=C3)C(F)(F)F)Cl)C,Inactive,0,,,-1.49,1.58
113,851389,653958,CN1C2=C(C=C1C(=O)NCC3=CC=CC=C3OC)SC=C2,Inactive,0,,,0.51,1.1
114,22410497,9657400,C/C(=N\NC1=C(C=C(C=N1)Cl)Cl)/C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=CO3,Inactive,0,,,-2.49,2.72
115,14741755,135512328,C1=CC=C2C(=C1)C(=C(C(=NC3=CC(=CC=C3)OC(=O)C4=CC=CC=C4[N+](=O)[O-])C2=O)N5C6=CC=CC=C6N=N5)O,Inactive,0,,,-2.39,2.29
116,24806339,2274654,C1=CC=C(C=C1)OCC2=NC(=NO2)C3=CC=NC=C3,Inactive,0,,,-2.24,2.08
117,4256279,854839,C1=CC=NC(=C1)CNC(=O)NC2=CC(=C(C=C2)Cl)Cl,Inactive,0,,,-2.09,1.3
118,24832853,5636860,COC1=CC=C(C=C1)C2=NN(C=C2/C=C/C(=O)N3CCN(CC3)C4=CC=CC=N4)C5=CC=CC=C5,Inactive,0,,,4.26,5.84
119,24833190,2421787,CC(C)CCOC1=CC(=CC=C1)OCC(=O)O,Inactive,0,,,-0.84,0.66
120,24837182,3500246,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(=O)N(C2CS(=O)(=O)C=C2)C3=CC=C(C=C3)C,Inactive,0,,,-0.99,0.59
121,24791948,6467346,C1=CC(=CC=C1C(=O)O)NC(=O)NC2=C(C=C(C=C2)F)F,Inactive,0,,,-1.89,1.58
122,851215,653780,CCOC1=CC=C(C=C1)OCC2=CC=C(O2)C(=O)OCC3=CC=CC=N3,Inactive,0,,,-2.74,2.64
123,17510314,9627302,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC=CC=C2F)CN3CCN(CC3)C4=CC=C(C=C4)F,Inactive,0,,,-2.29,1.87
124,22407547,15945218,C1=CC=C(C=C1)CCC2C(=O)N(C(=O)N2)CC3=CC=CC4=CC=CC=C43,Inactive,0,,,-2.69,2.43
125,22403620,2405497,C1=CC=C(C=C1)C2=C(N(N=C2CSC3=NC4=CC=CC=C4N3)C5=CC=C(C=C5)Cl)N,Inactive,0,,,-3.04,3.07
126,4265401,1555810,C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C\C4=CN=CC=C4)/S3,Inactive,0,,,-3.04,3.07
127,861161,662423,CCOC(=O)N1CCN(CC1)/C=C(\C#N)/C2=NC3=CC=CC=C3S2,Inactive,1,,,15.11,20.05
128,17433214,2242668,CN1C(=NN=C1SCC(=O)NC2=CC(=CC=C2)F)CCCOC3=C(C=C(C=C3)Cl)Cl,Inactive,0,,,-1.19,0.17
129,846390,648781,C1CN(CCC1NC(=O)NC2=CC=C(C=C2)F)CC3=NN=NN3CC4=CC=CO4,Inactive,0,,,-2.89,2.43
130,857021,658380,CCOC1=NC(=NC(=N1)N(C)C)SCCOC2=CC=C(C=C2)C,Inactive,0,,,-0.14,1.17
131,17504567,715039,C1=CC2=C(C=C1F)C(=C(N2)O)N=NC(=S)N,Inactive,0,,,-3.84,2.93
132,22407563,2353701,CC1=C(N2C=CC=CC2=C1C(=O)NC3=CC=C(C=C3)F)CCC4=CC=NC=C4,Inactive,0,,,-0.14,1.32
133,22405788,9621512,CCC1=CC=C(C=C1)OCC(=O)N/N=C(\C)/C2=CC=C(C=C2)OC(F)F,Inactive,1,,,11.66,13.9
134,848038,650462,CN1C2=CC=CC3=C2C(=C(C1=O)NCCO)C4=CC=CC=C4C3=O,Inactive,1,,,8.31,8.88
135,22403648,9564843,CCOC1=CC=C(C=C1)OCC2=CC(=CC=C2)C(=O)N/N=C/C3=CN=CC=C3,Inactive,0,,,3.16,4
136,22411662,832012,COC1=CC=CC(=C1)NC(=O)C2=CC=C(O2)CN3C=C(C=N3)[N+](=O)[O-],Inactive,0,,,5.61,6.05
137,17434030,1312006,COC1=CC=CC=C1NC(=O)/C(=C/C2=CC(=CC=C2)[N+](=O)[O-])/C3=CC=CC=C3,Inactive,1,,,12.51,14.54
138,22402816,3994334,CC(CC1=CC=CS1)NC(=S)NC2=CC(=C(C=C2)Cl)Cl,Inactive,1,,,10.16,11.78
139,22406737,3988965,COC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)S(=O)(=O)N3CCCCC3,Inactive,1,,,11.36,13.05
140,17432057,5341402,C1=CC=C2C(=C1)C(=CN2)CC(=O)N/N=C/C3=CC(=CC=C3)F,Inactive,0,,,4.76,6.26
141,17516314,2423951,C1=CC=C(C=C1)N2C(=CC(=N2)C3=CC=C(C=C3)Cl)NC4=CC=CC=C4N,Inactive,0,,,5.76,8.67
142,17432495,135425027,C1CC2=C(/C(=N/NC(=O)C3=CC=NC=C3)/C1)NC4=C2C=C(C=C4)[N+](=O)[O-],Inactive,0,,,-0.09,0.03
143,17514556,2148763,C1CN(C(=N1)SCC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,1,,,15.61,22.46
144,22410513,4811229,C1CN(CCN1C2=C(C=C(C=C2)[N+](=O)[O-])S(=O)(=O)N3CCOCC3)C4=CC=CC=C4F,Inactive,0,,,0.76,1.6
145,17506185,3600191,CCOC1=NC(=NC(=N1)NC2=CC=C(C=C2)[N+](=O)[O-])NCCO,Inactive,0,,,-0.59,0.45
146,17511569,3443318,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC(=C(C=C3)[N+](=O)[O-])NCCC4=CC(=C(C=C4)OC)OC,Inactive,0,,,-0.84,0.38
147,853120,655772,COC1=CC=C(C=C1)C(=O)CN2N=C(N=N2)C3=CC=CC=C3NC(=O)C4CC4,Inactive,1,,,8.21,10.15
148,22406303,2393485,CC1=CC(=C(N1CC(C)C)C)/C=C(\C#N)/C(=O)O,Inactive,0,,,4.41,5.49
149,17387740,3311028,CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=C(C(=CC=C3)OC)OC)C(=O)NC4=NC5=CC=CC=C5S4,Inactive,0,,,4.26,5.84
150,17407808,846394,C1CCC2=C(C1)N=C(S2)C3=CC4=CC=CC=C4OC3=O,Inactive,0,,,1.96,2.45
151,14734281,6622826,CCOC(=O)C1=CN2C(=CC(=N2)C3=CC=C(C=C3)OC)N=C1C4CCN(CC4)C(=O)OC(C)(C)C,Inactive,0,,,-1.19,0.03
152,14736300,1265940,CC(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC,Inactive,0,,,6.56,10.08
153,4263775,2200612,CC1=CC(=NC(=C1C#N)SCC(=O)C2=C(N(C(=C2)C)CCOC)C)C,Inactive,2,,,19.11,20.48
154,7976808,707724,CC1=C(OC2=C(C3=C(C=C12)C4=C(CCCC4)C(=O)O3)C)C,Inactive,1,,,15.36,16.31
155,24830974,4962012,CC1=C(N(C(=C1C#N)NC(=O)CCl)CC2=CC=C(C=C2)F)C,Inactive,1,,,8.56,9.09
156,17507726,3190595,CC1=C(C(=CC=C1)NC(=O)CSC2=NC=C(N2CCOC)C3=CC=C(C=C3)OC)C,Inactive,0,,,4.71,4.07
157,4244886,679583,CC1=CC2=C(C3=C(CCCC3)C(=O)O2)C(=C1)OCC(=O)OC,Inactive,0,,,2.91,2.52
158,17433839,2200149,CC1=CC(=NC2=CC=CC=C12)SCC(=O)C3=C(N(C(=C3)C)CCOC)C,Inactive,0,,,2.56,2.02
159,17508523,803824,CC1=CC(=NC(=C1C#N)SCC2=CC=CC=C2[N+](=O)[O-])C,Inactive,0,,,-1.99,2.15
160,3711455,135415388,CNC(=NC)SCC1=NC2=C(C(=O)N1)SC=C2.Cl,Inactive,0,,,-0.54,0.1
161,24830031,2110726,COC1=C(C=C(C=C1)CN2C(=O)C3=CC=CC=C3C2=O)C(=O)NC4=CC=CC=C4N5CCOCC5,Inactive,1,,,12.21,18.07
162,24835935,4868368,CCC(C1=CC=C(C=C1)C)NC(=O)CCl,Inactive,0,,,2.71,4.78
163,852968,655613,CCOC1=CC(=C(C=C1)OCC)NC(=O)C2CCCN(C2)C3=NC(=CC(=N3)C)C,Inactive,1,,,9.66,12.77
164,14728608,9556031,C[C@H]1CC[C@H](N([C@@H]1C2=CC=C(C=C2)C)C(=O)C3=CC=C(C=C3)/C=N/O[C@@H](C)C4=CN(N=N4)[C@@H](CC5=CC=CC=C5)CO)C(=O)OC,Inactive,1,,,15.51,21.61
165,22405391,8146215,CC1=C(C=CC(=C1)N2CCCCC2)[N+](=O)[O-],Inactive,0,,,2.41,3.79
166,22407034,2332950,CCOC(=O)C1=C(N=C(C(=C1C2=CC=CC=C2)C#N)SC)C,Inactive,0,,,0.56,1.46
167,14723529,594763,C1=CC=C(C=C1)C2=CC(=O)NN2,Inactive,0,,,0.06,0.61
