PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,MEAN_FLUORESCENCE,STD_FLUORESCENCE
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Mean compound fluorescence at 530 nm in CCRF-Adr cells from two repetitions,Standard deviation of compound fluorescence at 530 nm in CCRF-Adr cells from two repetitions
RESULT_UNIT,,,,,,,,NONE,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
1,14742829,1814043,CCN(CC)C1=CC=C(C=C1)/C=C/2\C(=O)N3C(=NN=C3S2)C4=CC=CC=C4C,Active,30,,,248.76,211.04
2,14737641,4247764,C1CC(OC1)CNC(=O)CCCCCN2C(=O)C3=C(C=CC(=C3)Br)NC2=S,Active,8,,,71.56,103.99
3,17506296,5333607,CCN(CC)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)C2=CC=C(C=C2)Br,Active,100,,,813.66,394.61
4,844549,646876,C1CN(CCN1C2=NC(=NC3=C2N=NN3CC4=CC=CC=C4)C(F)(F)F)C(=O)C5=CC=CO5,Active,4,,,37.01,36.32
5,17504108,1849672,COC1=CC=C(C=C1)C2=NC(=NC(=C2)C#N)OC3=CC=C(C=C3)Cl,Active,3,,,25.56,31.01
6,24810567,16193145,CCN\1C2=C(C=C(C=C2)C)S/C1=C\C3=[N+](C4=C(C=C3)C=C(C=C4)C)CC.[I-],Active,23,,,187.41,238.97
7,22403366,878545,CC(=O)OC1=C(NC2=CC=CC=C21)/C=C(\C#N)/C(=O)N,Active,33,,,272.46,200.15
8,17408241,11958727,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=C(C=CC=C4C=C3)C)CC.[I-],Active,37,,,305.16,298.3
9,24826744,3596034,CCN1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,11,,,92.91,121.74
10,24821031,5524036,COC(=O)C1=C(OC(=O)C(=C1)NC(=O)C2=CC=CC=C2)/C=C/NC3=CC=C(C=C3)OC4=CC=CC=C4,Active,41,,,338.66,342.71
11,14741605,1880983,CCCN1C(=O)/C(=C/C2=C(N=C3C(=CC=CN3C2=O)C)NCCCOC(C)C)/SC1=S,Active,21,,,178.01,136.44
12,860612,661891,CCN(CC)C1=NC(=NC2=CC=CC=C21)C3=C(C(=CC=C3)OC)O,Active,13,,,108.46,151.93
13,22405113,3614365,C1CCCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,16,,,131.11,161.76
14,24826438,4406525,CN1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,5,,,46.81,55.97
15,17413739,5341736,CC1=CC2=C(C=C1)N=C(N2)/C(=C\C3=CC=C(O3)[N+](=O)[O-])/C#N,Active,5,,,47.06,41.76
16,22402851,2484938,CCCNC(=O)CN1/C(=C/C(=O)C(C)(C)C)/S/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])/C1=O,Active,54,,,441.36,234.94
17,17387063,11839287,COCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,Active,49,,,406.21,372.19
18,17433069,1262361,C1=CC=C(C=C1)C(=O)NCC(=O)NC2=CC=CC(=C2)C(F)(F)F,Active,4,,,33.46,41.76
19,17505098,603755,C1=CC=C(C=C1)S(=O)(=O)NCCNC2=C(C=C(C=C2)Cl)[N+](=O)[O-],Active,3,,,31.86,42.89
20,14731086,135474141,C1=CC=C(C=C1)/C(=C/C2=NC3=CC=CC=C3N(C2=O)C4=CC=CC=C4)/O,Active,9,,,77.46,104.13
21,14733849,2185720,CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=O)N3C(=NN=C3S2)C4=CC=CC=C4Cl,Active,25,,,203.71,183.25
22,17433121,2984065,CCOC1=C(C(=CC(=C1)CNCCSC2=NN=NN2C)Br)OCC3=CC=C(C=C3)F.Cl,Active,4,,,33.96,49.12
23,22405312,6974996,CCN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/S1)CC,Active,6,,,50.81,36.6
24,17412701,5337303,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC=C(C=C3)Cl,Active,14,,,117.86,90.69
25,857352,135449555,CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=NN=C(O3)C4=CC=CC=C4O)O,Active,13,,,110.76,64.11
26,17512364,1867783,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC4=CC=CC=C4C=C3,Active,76,,,624.41,353.1
27,24788565,3432011,CCC(CC1=CC=CC=C1)N2C(=O)C3=CC=CC=C3NC2=S,Active,7,,,57.36,72.45
28,14740141,1039936,C1CC1C(=O)C2=C(C3=C(S2)N=C(C=C3C(F)(F)F)C4=CC=CS4)N,Active,33,,,270.51,122.58
29,3712057,2997868,COCCN1C2=CC=CC=C2N=C1SCC3=CSC(=N3)C4=CC=CC=C4,Active,8,,,72.26,97.62
30,17387056,11839273,COCCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,Active,40,,,329.16,292.78
31,22403593,2441441,CCNC(=O)CN1C2=C(C=CC(=C2)Cl)N(C(=O)C1=O)CC3=CC=CC=C3,Active,3,,,27.36,39.5
32,17387979,5400800,CCCN1C(=O)/C(=C/C2=CC(=C(C=C2)N3CCCC3)C)/NC1=S,Active,16,,,137.41,110.85
33,851698,654291,CC(CNC1=NC2=C(N1CC3=CC(=CC=C3)Br)C(=O)N(C(=O)N2C)C)O,Active,13,,,113.56,159.71
