PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,MEAN_FLUORESCENCE,STD_FLUORESCENCE
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Mean compound fluorescence at 530 nm in IgMXP3 cells from two repetitions,Standard deviation of compound fluorescence at 530 nm in IgMXP3 cells from two repetitions
RESULT_UNIT,,,,,,,,NONE,NONE
236,17509299,12004782,CC1=C(C(=NN1CCCC(=O)NC2=CC(=CC(=C2)OC3=CC=CC=C3)[N+](=O)[O-])[N+](=O)[O-])Cl,Inactive,0,,,-0.99,1.24
237,24783885,2867550,CCOC1=CC=C(C=C1)N2C(=O)C3C(N(OC3C2=O)C4=CC=CC=C4)C5=CC=CS5,Inactive,0,,,-1.24,1.46
238,22411125,1798952,COC1=CC(=CC(=C1OC)OC)/C=C\2/CCC3=CC=CC=C3C2=O,Inactive,0,,,-1.64,2.02
239,22402935,2116543,CCC1=C(C(=CC=C1)CC)NC(=O)C2=C(C=CC(=C2)CN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,0,,,-1.69,1.95
240,17509571,12004884,CCCCCCCCNC(=O)C1=C(N=CC=C1)SCC(=O)NC2=CC=CC=C2OC,Inactive,0,,,-1.69,1.95
241,24797597,2957073,CCC(C)C1=CC=C(C=C1)NC(=S)NCCN2C=C(C=N2)Br,Inactive,0,,,-1.74,1.88
242,4245338,699975,CC(C)OC(=O)C1=CC2=C(C(=C(C=C2)OC)OC)C(=O)S1,Inactive,0,,,-1.89,1.95
243,24815249,9640944,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=C(C=C2)O)OC)CN3CCN(CC3)C4=CC=C(C=C4)F,Inactive,0,,,-2.04,2.16
244,22407558,6022095,COC1=CC=C(C=C1)CCNC(=O)COC(=O)/C=C/C2=CC(=C(C=C2)OC)OC,Inactive,0,,,-2.09,2.23
245,24825332,2468931,CC(C)[C@@H](C(=O)NC1=NC(=CS1)C2=C(C=CC(=C2)OC)OC)NC(=O)C3=CC(=CC(=C3)OC)OC,Inactive,0,,,-1.79,1.81
246,22407066,4291306,CCOC1=CC(=C(C=C1NC(=O)COC(=O)C2=CC(=CC(=C2)C)C)OCC)N3CCOCC3,Inactive,0,,,-1.99,2.09
247,17506370,2792223,CC1=CC(=NC(=C1C#N)SCC2=C(C=CC=C2F)[N+](=O)[O-])C,Inactive,0,,,-2.04,2.16
248,22407568,9647096,CC1=CC(=CC(=C1)OCC(=O)N/N=C(\C)/C2=CC=C(C=C2)N3CCOCC3)C,Inactive,0,,,-2.19,2.38
249,17514180,3518672,COC1=CC=C(C=C1)CC2=NN3C=NC4=C(C3=N2)C(C5=C(O4)C=CC6=CC=CC=C65)C7=CC(=C(C=C7)OC)OC,Inactive,0,,,-2.29,2.52
250,22407009,4335757,C1CCN(C1)C2=C(C=C(C=C2)C(=O)OCC3=CC=C(C=C3)C#N)[N+](=O)[O-],Inactive,0,,,-2.29,2.38
251,17388272,1434724,CC1=C(N2C(=CC(=N2)C3=CC(=CC=C3)F)N=C1C)N4CCN(CC4)C(=O)C5=CC=CO5,Inactive,0,,,-2.29,2.23
252,17506365,1563945,CC1=CC=C(C=C1)N(CCCCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=CC=C(S4)Cl,Inactive,0,,,-2.19,2.23
253,14730345,2979898,CCOC(=O)C1=C(NC(=O)NC1C2=C(C=CC(=C2)C)C)CNCC3=CC=C(C=C3)C,Inactive,0,,,-1.79,1.67
254,22406046,4426242,CC(=O)NC1=CC=C(C=C1)NC2=C(C=C(C=C2)S(=O)(=O)C(F)(F)F)[N+](=O)[O-],Inactive,0,,,-2.19,2.23
255,22415741,2920632,CC12CCC3C1(COC2(C3)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-])C,Inactive,0,,,-2.29,2.38
256,17504225,6407380,CCCCSC1=NN=C(C2=CC=CC=C21)C3=CC=C(C=C3)C,Inactive,0,,,-2.19,2.23
257,17509066,3191162,COC(=O)C1=CC=C(C=C1)C(C(=O)NC2CCCCC2)N(CC3=CC=CC=C3)C(=O)CC4=CC=CS4,Inactive,0,,,-2.39,2.38
258,24815209,5056560,CN1C=CC=C1CNC(=S)NC2=CC=C(C=C2)OC,Inactive,0,,,-2.19,2.23
259,24785969,2884333,CC1=C(SC=[N+]1CC2=CC=C(C=C2)[N+](=O)[O-])CCOC(=O)CC34CC5CC(C3)CC(C5)(C4)C.[Br-],Inactive,0,,,-1.69,1.67
260,17433277,801878,C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F,Inactive,0,,,0.26,0.33
261,4244513,3239096,CCOC(=O)C1=CC(=CC=C1)NC(=O)C2=NC3=CC=CC=C3N=C2,Inactive,0,,,-0.59,0.68
262,22409439,4831610,CC(C)CCN1C2=CC=CC=C2C(=C1O)N=NC3=CC=CC=N3,Inactive,0,,,-1.09,0.96
263,4240557,3235650,CCN(CCCNC(=O)CCC1=NC(=NO1)C2=CC=C(C=C2)C)C3=CC=CC(=C3)C,Inactive,0,,,-1.64,1.74
264,17505269,818194,CC(=O)NC1=CC=C(C=C1)C(=O)OCC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,-1.59,1.53
265,16953419,4373915,CC(C1CC2CCC1C2)NC(=O)COC(=O)CC3=CSC=C3,Inactive,0,,,-2.14,2.16
266,22410748,2531621,CC1=CC(=C(C=C1C)C(=O)COC(=O)CCNS(=O)(=O)C2=C(C=CC=C2Cl)Cl)C,Inactive,0,,,-1.84,1.88
267,14741973,135512335,C1=CC=C2C(=C1)C(=C(C(=NC3=CC(=CC=C3)OC(=O)C4=CC(=CC=C4)[N+](=O)[O-])C2=O)N5C6=CC=CC=C6N=N5)O,Inactive,0,,,-2.14,2.16
268,24818202,3516975,CC1=CC(=NC(=N1)N2C=CC=C2)C3=C(C=CS3)Br,Inactive,0,,,-1.94,1.88
269,860159,661468,CC1CC(CN(C1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O)C,Inactive,0,,,-1.94,2.02
270,846572,648964,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=CS3)C(C4=NN=NN4C5CCCC5)C(C)C,Inactive,0,,,-2.04,2.16
271,22403396,2320400,CN(C)C1=CC(=C(C=C1)P(=O)(NC2=CC=CC(=C2)C(F)(F)F)N3CCOCC3)NC(=O)C4=CC=CS4,Inactive,0,,,-2.19,2.09
272,24817134,3134434,C1=CC(=CC=C1NC2=NC(=NC(=N2)NCCO)Cl)[N+](=O)[O-],Inactive,0,,,-2.24,2.31
273,14723580,3138601,CN(C)C1=NC(=NC(=N1)OCCNC(=O)COC2=C(C=C(C=C2)Cl)Cl)N(C)C,Inactive,0,,,-2.29,2.38
