PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
186,842716,6602980,CCOC1=C(C=CC(=C1)C2=C(N3C=CC=C(C3=N2)C)NCC4CCCO4)O.CNC.Cl,Active,40,,,yes
187,24838725,3236155,COC1=CC(=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3O2)NC(=O)COC4=CC=CC=C4OC)OC,Active,40,,,yes
188,26668122,653589,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3C4CCCC4)C(=O)NC5CCCC5,Active,40,,,yes
189,14746596,5252834,CC(C)CN1C2=C(N=C1C3=CC=C(C=C3)C#N)N(C(=O)NC2=O)CC(C)C,Active,40,,,yes
190,843961,646267,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CN=CC=C3,Active,40,,,yes
191,4249630,3243558,COC(=O)C1=CC=C(C=C1)C2=NC3=CC4=C(C=C3C(=C2)C(=O)O)OCCO4,Active,40,,,yes
192,865029,5390004,CCC1=CC2=C(C=C1O)OC(=O)C=C2CN3CCN(CC3)CCO,Active,40,,,yes
193,858798,660107,CCOC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CCCOC(=O)C4=CC=CO4)N,Active,40,,,yes
194,7973609,1515332,COC(=O)C1=CN(C=C(C1C2=CC=CC=C2C(F)(F)F)C(=O)OC)CCCN3CCCC3=O,Active,40,,,yes
195,861549,662796,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=NC(=O)C4=CC=NC=C4)N3CCCOC)C#N,Active,40,,,yes
196,862283,5389715,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCCC3)OC4=CC=CC=C4Br,Active,40,,,yes
197,4256920,697640,C1=CC=C2C(=C1)C(=CC(=N2)C3=CC=CO3)C(=O)O,Active,40,,,yes
198,17406834,11841561,CC1=C(C(=C2C3=C(C(=O)NC(N3)C4=CC=C(C=C4)OC)SC2=N1)C5=CC=C(C=C5)Cl)C(=O)C,Active,40,,,yes
199,14740525,1242620,CC1=C(C(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3)CC(=O)OC,Active,40,,,yes
200,858975,660278,CCOC(=O)NC(=O)CSC1=C(C(C(=C(N1)C)C(=O)OCC=C)C2=CN=CC=C2)C#N,Active,40,,,yes
201,853431,656090,CC1=CC(=NC(=C1C#N)SCC(=O)CC(=O)OC(C)C)C,Active,40,,,yes
202,849169,651638,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3=CC(=C(C(=C3)OC)OC)OC,Active,40,,,yes
203,4261249,1979183,C1COCCN1CCCNC2=C(N=C(O2)C3=CC=CS3)C#N,Active,40,,,yes
204,859413,660706,C1=CC=C(C=C1)C(=O)NC2=NN(C(=N2)NC(=O)C3=CC=CO3)C4=CC=CC=C4,Active,40,,,yes
205,4245333,3239815,COC(=O)C1=CC(=O)N=C2N1N=C(S2)C3=CC=CS3,Active,40,,,yes
206,4243826,2158355,COCCN(CCOC)C(=O)C1=CC2=C(S1)N=C3C=CC=CN3C2=O,Active,40,,,yes
207,4256323,973716,COC(=O)CC(=O)CSC1=C(C=C2CCCCCC2=N1)C#N,Active,40,,,yes
208,17413089,1326324,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](C2=CC=CC=C2)C(=O)OC3=CC4=C(C=C3)C(=CC(=O)O4)C(F)(F)F,Active,40,,,yes
209,865552,666811,CC1=CC(=NC2=NN3C(=CC(=NC3=C12)C)NCCCN(C)C)C,Active,40,,,yes
210,4243415,3238140,C1=CC=C2C(=C1)C(=COC2=O)C(=O)NC3=CN=CC=C3,Active,40,,,yes
211,14725867,1077518,CCCN1C2=C(C=C(C1=N)C(=O)NC3CCCC3)C(=O)N4C=CC=C(C4=N2)C,Active,40,,,yes
212,7965939,5307922,C1CN(CCN1C(=O)C2=CC=CO2)C(=O)C3=CC4=C(S3)C5=CC=CC=C5OC4,Active,40,,,yes
213,852945,655586,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3Cl)N)N,Active,40,,,yes
214,17388231,951184,C1=CC=C2C(=C1)C=CC(=C2CNC3=CC4=CC=CC=C4N=C3)O,Active,40,,,yes
215,3713611,2094169,C1CCN(CC1)C2=NC3=C(S2)C(=CC(=O)N3)C(F)(F)F,Active,40,,,yes
216,856002,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Active,40,,,yes
217,14720699,737853,C1=CC=C2C(=C1)C=CC3=C2C=C(C(=O)O3)C(=O)O,Active,40,,,yes
218,4241171,6858403,CSC1=CC=C(C=C1)/C=N/N2C(=NN=N2)N,Active,40,,,yes
219,14729289,1476731,C1=CC=C(C=C1)C2=NC=C(S2)C3=NN(C=C3)C(=O)C4=CC=C(C=C4)F,Active,40,,,yes
220,14730459,1949028,CC(C)OC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CCCN4CCOCC4)N,Active,40,,,yes
221,859869,661174,CCCCOCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)OCCOC)N,Active,40,,,yes
222,851406,653975,CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCCCN4CCOCC4)C#N,Active,40,,,yes
223,855896,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,Active,40,,,yes
224,7969599,4046983,CC1=CC(=C(C=C1)OC)NC(=O)C2=CN=C3N(C2=O)C(=CS3)C,Active,40,,,yes
225,7978338,5341215,CCN1C2=CC=CC=C2N=C1/C=N/N3C=NN=C3,Active,40,,,yes
226,858636,394328,COC(=O)C1=C(C(=NC2=C1CCC2)N)C#N,Active,40,,,yes
227,7972245,2921310,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN3C(C=C(NC3=N2)C)C4=CC=CC=C4,Active,40,,,yes
228,860695,661972,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=COC(=O)C(=C3)Br,Active,40,,,yes
229,4255130,674174,COC1=CC=CC(=C1)C2C(=CNC=C2C(=O)OC)C(=O)OC,Active,40,,,yes
230,14720754,673734,CCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,Active,40,,,yes
231,3715371,2999178,CC1=NN(C2=C1C=C(S2)C(=O)OC3CCOC3=O)C4=CC=C(C=C4)F,Active,40,,,yes
232,7974965,1893664,CC1(CC2=CC=CC=C2C3=C1C(=O)N(C(=N3)NCCO)C4=CC=CC=C4)C,Active,40,,,yes
233,17401615,3319881,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)CCOC(=O)C4=CC(=CC=C4)[N+](=O)[O-])N)C#N,Active,40,,,yes
234,862511,5389744,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCN(CC3)C)OC4=CC=C(C=C4)C(=O)OC,Active,40,,,yes
235,3712765,2106091,CCOC(=O)NC1=CC2=C(C=C1)C(=CC(=O)O2)CN3C(=O)C4(CCCC4)NC3=O,Active,40,,,yes
236,859546,660841,CC(COC)OC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CC4=CC=CO4)N,Active,40,,,yes
237,4247537,3241738,C1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)Br)C3=CN4C=CC=NC4=N3,Active,40,,,yes
238,862800,664033,CC1(CCCN(C1)C(=O)C2=COC(=O)C(=C2)Br)C,Active,40,,,yes
239,14746522,2360283,COC1=C(C=C(C(=C1)C(=O)OCC(=O)NCC2=CC=CC=C2)NC(=O)C3=CC=CS3)OC,Active,40,,,yes
240,14744660,705951,CC(=O)N1CCC2=C1C=CC(=C2)N3C=C(C(=N3)C(=O)OC)O,Active,40,,,yes
241,862495,663725,C1CC(OC1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,Active,40,,,yes
242,4264374,696879,CC1=C(C2=CC=CC=C2O1)C3=CN4CCSC4=N3,Active,40,,,yes
243,14721298,2899620,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=CO3,Active,40,,,yes
244,17413661,1322197,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=S)NCCC(C)C,Active,40,,,yes
245,14722799,1466991,COC1=C(C=C2C(=C1)C=C(C(=O)N2)CN(CC3=CC4=C(C=C3)OCO4)C(=O)C5=CC=CO5)OC,Active,40,,,yes
246,4259288,608927,C1=CC=C(C=C1)N2N=C(C(=N2)N)C(=O)N,Active,40,,,yes
247,4261863,2932546,C1CCN(C1)CC(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)CN5CCCC5,Active,40,,,yes
248,17401868,5051223,C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=CS5,Active,40,,,yes
249,14742900,3730240,CCCC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCC4CCCO4)C#N,Active,40,,,yes
250,862499,663729,CCCCNC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=N)CC4=CC=NC=C4,Active,40,,,yes
251,864332,665580,CC1=CC2=C(C=C1)N(C3=C2N=CN=C3N4CCOCC4)C,Active,40,,,yes
252,17412686,1183482,COC1=CC(=C(C=C1C(=O)OC)Cl)NC(=O)/C=C/C2=C(C=C(C=C2)Cl)Cl,Active,40,,,yes
253,850568,653094,CCOC(=O)CC(=O)CSC1=C(C=C2C=C(C=CC2=N1)C)C#N,Active,40,,,yes
254,859740,661044,CC(=O)NC1=CC=C(C=C1)N2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)OC)N,Active,40,,,yes
255,17414250,9566641,COC1=CC(=CC(=C1OC)OC)/C=N/C2=C(N=C3N2C=CC=C3)C4=CC(=C(C=C4)O)OC,Active,40,,,yes
256,4241450,3236423,C1=CN2C=C(N=C2N=C1)C3=CC=C(C=C3)Br,Active,40,,,yes
257,843091,645371,CN(C1=NN=C(S1)C2=CC=NC=C2)C(=O)C3CCOC3,Active,40,,,yes
258,14736816,135421655,COC1=CC=C(C=C1)C2=CC3=C(S2)C(=O)NC=N3,Active,40,,,yes
259,4244682,3239252,CC1=C(C=C(C=C1)C2=CN3C=CC=NC3=N2)NC(=O)C4=CC=C(O4)Br,Active,40,,,yes
260,17407807,1468210,CC1=C(SC(=N1)NC(=O)/C=C/C2=CC=CC=C2)C(=O)NC3=CC=CC=C3Cl,Active,40,,,yes
261,14740777,941482,COC1=CC=CC=C1C2=NC(=C(O2)N3CCC(CC3)C(=O)N)C#N,Active,40,,,yes
262,17504721,73191,CC(C)([C@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,Active,40,,,yes
263,17412111,3695752,CC1=CC2=C(C=C1NC(=O)C(F)(F)F)NC(=O)C=C2COC,Active,40,,,yes
264,14731639,1986205,C=CCNC1=C(N=C(O1)C2=CC=CS2)C#N,Active,40,,,yes
265,14742375,3829432,CCOC(=O)CC(=O)CSC1=C(C=C2CCCC2=N1)C#N,Active,40,,,yes
266,14731802,728322,C1=CC=C(C(=C1)C#N)NC(=O)NC2=CC=C(C=C2)Cl,Active,40,,,yes
267,4241072,3236092,CC1CN(CC(O1)C)C(=O)C2=CC3=C(S2)N=C4C=CC=CN4C3=O,Active,40,,,yes
268,17386120,830763,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C=NC3=CC4=CC=CC=C4N=C3,Active,40,,,yes
269,14742658,6890120,CC1=NC2=C(C3=NC4=CC=CC=C4N=C3N2/N=C/C5=CC=CC=C5)C(=O)N1CCC6=CCCCC6,Active,40,,,yes
270,14741235,3524797,CCOC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=NC(=O)C4=CC=CC=C4)CC5=CC=CO5,Active,40,,,yes
271,858493,659804,CC1(CC2=NC(=C(C=C2CO1)C#N)NCCCO)C,Active,40,,,yes
272,7973778,2891915,CC(C(=O)O)OC1=CC2=C(C=C1)OC(=C2C(=O)O)C3=CC=CC=C3,Active,40,,,yes
273,4256297,2225369,C1CCCC2=C(CC1)C(=C(S2)NC(=O)C3=CC=CO3)C(=O)NC4CC4,Active,40,,,yes
274,17407967,9564144,COC1=CC(=C(C=C1)/C=N/NC(=O)NC2=CC=CC3=NSN=C32)OC,Active,40,,,yes
275,861770,662999,CSC1=CC=C(C=C1)C2=C(C(=NC3=C2CCCC3)N)C#N,Active,40,,,yes
276,24824145,827944,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3,Active,40,,,yes
277,3714496,2998825,CC(C)CN1C2=C(C(=O)NC1=O)N(C(=N2)C3=CC=C(O3)C4=CC=CC=C4Cl)CCOC,Active,40,,,yes
278,7964731,4302841,C1CC1C2=CC(=C(C(=O)N2)C#N)C(F)(F)F,Active,40,,,yes
279,14743772,2436981,CN(C)C(=O)COC(=O)C1=C(C(=CC(=C1)Cl)Cl)N,Active,40,,,yes
280,14745657,2434862,C1CN(CCN1C(=O)COC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CO4)C(=O)C5=CC=CO5,Active,40,,,yes
281,843104,645384,CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCCCN4C=CN=C4)C#N,Active,40,,,yes
282,4259087,2963560,COC1=C(C2=C(C=C1)C3=C(CCCC3)C(=O)O2)OCC(=O)N,Active,40,,,yes
283,24819926,1480420,COC1=CC=C(C=C1)C2=CC=NC3=C(C=NN23)C#N,Active,40,,,yes
284,14741720,3767566,C1=CC2=NC3=C(C=C(C(=N)N3CC4=CN=CC=C4)C(=O)NCC5=CC=C(C=C5)F)C(=O)N2C=C1,Active,40,,,yes
285,14744457,135512371,CCOC1=CC=CC=C1OCC(=O)N/N=C/C2=C(N=C(S2)NC3=CC=CC=C3)Cl,Active,40,,,yes
286,14741006,945704,CCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CS4,Active,40,,,yes
287,4241317,3236313,CCOC(=O)N1CCN(CC1)C(=O)C2=CN3C(=NC4=C(C3=O)C=C(C=C4)Cl)C=C2,Active,40,,,yes
288,14739238,1283398,CC1=CC=C(C=C1)C2=C3C(=C(SC3=NC4=C2CCC4)C(=O)NC5=CC=C(C=C5)NC(=O)C)N,Active,40,,,yes
289,14724304,679749,CN1C2=CC=CC=C2N=C1C3=CC4=C(C=C(C=C4)OC)OC3=O,Active,40,,,yes
290,860813,662092,COC1=CC=C(C=C1)C2=C(OC3=C2C4=NC(=NN4C=N3)COC5=CC=CC=C5)C6=CC=C(C=C6)OC,Active,40,,,yes
291,14742559,1284204,CCCC1=C(C2=NC3=CC=CC=C3N2C(=C1)N4CCN(CC4)C(=O)C5=CC=CO5)C#N,Active,40,,,yes
292,7977150,94381,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3,Active,40,,,yes
293,14722480,725693,CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN3C=CC=CC3=N2,Active,40,,,yes
294,17406944,7551758,CCCCN1C(=O)C2=CC3=CC=CC=C3N(C2=NC1=O)C4=CC=CC=C4,Active,40,,,yes
295,17411913,2238995,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=CC(=C3)C4=CC5=CC=CC=C5OC4=O,Active,40,,,yes
296,4240729,3235801,COCCCNC(=O)C1=CN2C(=NC3=CC=CC=C3C2=O)C=C1,Active,40,,,yes
297,851051,653603,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3C(C)C)C(=O)NCCCOC,Active,40,,,yes
298,857942,659293,C1COCCN1CCNC(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CO5)N,Active,40,,,yes
299,14732918,5201463,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCCN4C=CN=C4)C(=O)NCCC5=CC=CC=C5,Active,40,,,yes
300,859876,661180,CC(C)C1=C(C2=NC3=CC=CC=C3N2C(=C1)NCCCN4CCOCC4)C#N,Active,40,,,yes
301,3715577,2311082,C1=CC=C(C=C1)P(=O)(C2=NC3=CC=CC=C3S2)NC4=NC=CS4,Active,40,,,yes
302,17510725,4220651,CC1=C(C=C(C=C1)C(=O)O)N=CC2=C(C(=CC(=C2)Br)Br)O,Active,40,,,yes
303,7972588,5310624,CC1=CC=CC=C1C2=C(OC3=C(C2=O)C=CC(=C3)O)C,Active,40,,,yes
304,14747176,135512440,CC1=CC(=C(C=C1)C(C)C)OCC(=O)N/N=C/C2=C(N=C(S2)NC3=CC=CC=C3)Cl,Active,40,,,yes
305,24794967,2237135,CN(CC1=CC=CC=C1)C(=O)C2=NN3C(=CC(=NC3=C2)C4=CC(=C(C=C4)OC)OC)C(F)(F)F,Active,40,,,yes
306,14740526,1242473,CCOC1=CC=C(C=C1)NC2=C(N=C(O2)C3=CC(=CC=C3)Cl)C#N,Active,40,,,yes
307,7972314,2766175,CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=CN=CC=C3)C#N,Active,40,,,yes
308,17413746,9566665,COC1=C(C=CC(=C1)C2=C(N3C=CC=CC3=N2)/N=C/C4=CC=CC=C4)O,Active,40,,,yes
309,848278,650716,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CC=CC(=C3)C#N,Active,40,,,yes
310,863017,664254,CCCCOCCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CO4,Active,40,,,yes
311,848323,650758,CN(C1=NN=C(S1)C2=CC=CC=C2OC)C(=O)C3CCCO3,Active,40,,,yes
312,7975768,6858809,CN1C2=CC=CC=C2N=C1/C=N/N3C=NN=C3,Active,40,,,yes
313,14723008,855050,CCCC1=CC(=O)N2C3=CC=CC=C3NC2=C1C#N,Active,40,,,yes
314,14745522,5154885,CN(CCO)C1=C(C2=C3CC(=O)N(C3=NC(=C2C(=N1)N)N)C4CCCC4)C#N,Active,40,,,yes
315,14746753,2408611,COC1=CC=C(C=C1)C2=NC(=C(O2)N3CCC(CC3)C(=O)N)C#N,Active,40,,,yes
316,865752,5390070,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCN(CC3)C)C4=CC=CC=C4OC,Active,40,,,yes
317,7977002,744291,C1=CC=C(C(=C1)C#N)NC(=O)NC2=CC(=CC=C2)Cl,Active,40,,,yes
318,26657823,4875638,CNC(=O)COC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CO3,Active,40,,,yes
319,858492,659803,CC1=CC(=C(C(=N1)N)C#N)C(=O)OCCO,Active,40,,,yes
320,49648813,24747926,COC1=CC=C(C=C1)C#CC2=C(OC3=C2C=C(C=C3)C4=CC(=C(C(=C4)OC)OC)OC)C5=CSC=C5,Active,40,,,yes
321,7969239,892397,CN(C)CCNC1=C(N=C(O1)C2=CC=CC=C2F)C#N,Active,40,,,yes
322,14745867,9551997,COC1=CC=C(C=C1)C2=C[N+]3=C4N2CCCCC4=C(C3)C5=CC=CC=C5.[Br-],Active,40,,,yes
323,7969139,5309796,CN1CCN(CC1)CCCNC(=O)C2=CC3=C(C=C2)SCCN3CC4=CC=CC=C4,Active,40,,,yes
324,860979,662254,C1COCCN1CCNC(=O)C2=COC(=O)C=C2,Active,40,,,yes
325,847142,649542,CC1(CC(=O)N=C2N1C=CC=C2)C(=O)N(CC(=O)NC(C)(C)C)C3CCCC3,Active,40,,,yes
326,17412683,2789059,CC(C)CC(C(=O)OC1=CC2=C(C=C1)C3=C(CCC3)C(=O)O2)N4C(=O)C5=CC=CC=C5C4=O,Active,40,,,yes
327,865446,666700,CC1=CC2=C(C(=C(C(=O)O2)CC(=O)OC)C)C(=C1)OCC3=NNN=N3,Active,40,,,yes
328,26659875,5726945,CC(=O)C1=CC=C(O1)/C=C/C2=NC3=CC=CC=C3N2C,Active,40,,,yes
329,14733418,9550488,CCOC1=C(C=CC(=C1)/C=C\2/C(=N)N3C=CSC3=NC2=O)OCCCOC4=CC=CC=C4C,Active,40,,,yes
330,26657995,2423303,C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CO4,Active,40,,,yes
331,846717,649108,COC1=CC(=C(C=C1)OC)C(=O)CSC2=NN=NN2C3=CC(=CC=C3)OC,Active,40,,,yes
332,4242819,3237626,C1CCC2=C(C1)C3=C(S2)N=C4C=CC(=CN4C3=O)C(=O)NCC5=CC=CO5,Active,40,,,yes
333,3711646,1888166,CCOC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CCN4CCCCC4)N,Active,40,,,yes
334,14745048,6051703,CC1=CC(=C(N1CCC(C)C)C)/C=C(\C#N)/C(=O)OCC(=O)NC(=O)NCC=C,Active,40,,,yes
335,859682,660989,CN(C)CCNC(=O)C1=COC(=O)C(=C1)Br,Active,40,,,yes
336,14736622,1358093,C1=CC=C2C=C(C=CC2=C1)C3=CN4C=CC=CC4=C3,Active,40,,,yes
337,862771,5361807,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCOCC3)C4=CC=CC=C4,Active,40,,,yes
338,848815,651268,COC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)(F)F)C(=O)NCC4CCCO4,Active,40,,,yes
339,3716387,2999584,C1CC(OC1)CNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CO4,Active,40,,,yes
340,14725670,2863214,CC1=C(C(C2=C(N1)CCCC2=O)C3=CN=CC=C3)C#N,Active,40,,,yes
341,861294,662549,CC(=O)COC1=CC2=C(C=C1)C3=C(CCCCC3)C(=O)O2,Active,40,,,yes
342,3712880,2998196,CC(C)(C)N1C(=O)CC2=C3C(=C(N=C(C3=C(N=C21)N)N)N4CCCCC4CO)C#N,Active,40,,,yes
343,14741851,907545,CC1=C(C(=O)OC2=C1C=CC(=C2)OCC(=O)N(C)C)CC(=O)OC,Active,40,,,yes
344,3711514,2997668,CC1=CC=C(C=C1)CN2CC(CC2=O)C(=O)NC3=CC4=C(C=C3)C(=CC(=O)O4)C,Active,40,,,yes
345,852707,135449503,C1=CC=C(C(=C1)/C=N/C2=C(N=C3N2C=CC=C3)C4=CC=CO4)O,Active,40,,,yes
346,14741849,1858288,CN1C2=C(C=C(C=C2)OC)C3=C1C(=O)N(C=N3)CCCN4CCOCC4,Active,40,,,yes
347,17406862,900059,CCOC(=O)C1=CC=C(C=C1)C2=CC=C(O2)CO,Active,40,,,yes
348,14741106,2025244,COC1=C(C=C(C=C1)C2=NC(=C(O2)N3CCC(CC3)C(=O)N)C#N)OC,Active,40,,,yes
349,24818902,1490444,CNC(=O)C1=CC2=C(S1)C3=CC=CC=C3CC2,Active,40,,,yes
350,24840822,5389856,COC1=CC=CC=C1C2=COC3=C(C2=O)C=CC(=C3CN4CCN(CC4)CCO)O,Active,40,,,yes
351,3712757,2035623,COCCCN1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3O2,Active,40,,,yes
352,4242249,135456842,COC1=CC=CC=C1N=C2C(=CC3=C(O2)C=C(C=C3)O)C(=O)N,Active,40,,,yes
353,24841420,12315418,CCC(C)/C=C(\C)/C=C/C1=CC2=C(C(=O)C(C(=O)C2=CO1)(C)OC(=O)C)Cl,Active,40,,,yes
354,17403455,787569,CC1=NC2=C(C(=O)O1)SC3=C2C=C4COC(CC4=N3)(C)C,Active,40,,,yes
355,26730184,2815279,CC1=CC=C(C=C1)C2NC3=CC=CC=C3C(=O)N2CCN4CCNC4=O,Active,40,,,yes
356,14727715,247440,CC1=CC(=C(C(=O)N1)C#N)C(F)(F)F,Active,40,,,yes
