PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
44,14739181,5423063,CCN(CC)CC1=C2C(=CC(=C1O)Cl)C(=C(C(=O)O2)C)C,Active,40,,,yes
45,14734536,2837694,CN(C)CCCNS(=O)(=O)C1=CC=C(C=C1)N2CCC(=N2)C3=CC=C(C=C3)Cl,Active,40,,,yes
46,24831090,16196274,CC1=CC2=C(C=C1)OC(=CC2=NCCC(=O)O)C3=CC=C(C=C3)OC.OCl(=O)(=O)=O,Active,40,,,yes
47,14743359,5892724,CC1CCCN(C1)CC2=C(C=CC3=C2OC(=O)C(=C3C)CC(=O)OC)O,Active,40,,,yes
48,14722131,1951859,CC(C)OC(=O)CC(=O)CSC1=C(C=C2CCCCCC2=N1)C#N,Active,40,,,yes
49,7969856,542899,C1=CC(=CC=C1C2=NC3=C(O2)C=C(C=C3)N)N,Active,40,,,yes
50,14743421,1774193,CC(C)OC(=O)CC(=O)CSC1=C(C=C2CCCCCCC2=N1)C#N,Active,40,,,yes
51,49681552,23581792,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.O.Cl,Active,40,,,yes
52,865975,5390086,CCC1=CC(=O)OC2=C1C=C(C(=C2C)O)CN(C)C,Active,40,,,yes
53,861062,5389495,CCCC1=CC(=O)OC2=C(C(=C(C=C12)Cl)O)CN3CCN(CC3)C,Active,40,,,yes
54,859814,5381219,C1CCC2=C(C1)C3=C(C(=C(C=C3)O)CN4CCOCC4)OC2=O,Active,40,,,yes
55,7968848,4223974,CCC(=O)NC1=C(C=CC2=C1OC(=O)C=C2C)OC(=O)CC,Active,40,,,yes
56,860598,5389391,CCCC1=CC(=O)OC2=C1C=CC(=C2CN3CCCC3)O,Active,40,,,yes
57,14734017,5398457,CC1=CC(=O)OC2=C1C=CC(=C2CN(CC(C)C)CC(C)C)O,Active,40,,,yes
58,856745,658104,COC(=O)C1=CC=C(O1)C2=C(C3=C(S2)N=C(C4=C3CCCC4)N5CCOCC5)N,Active,40,,,yes
59,49648812,24747925,COC1=CC=C(C=C1)C#CC2=C(OC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5)C6=CC=C(C=C6)OC,Active,40,,,yes
60,7975926,5310805,CC1=C(C(=O)OC2=C1C=CC(=C2)O)CCC(=O)O,Active,40,,,yes
61,14723053,5381220,C1CCN(CC1)CC2=C(C=CC3=C2OC(=O)C4=C3CCCC4)O,Active,40,,,yes
62,7973661,705654,C1CCC2=C(C1)C3=CC(=C(C=C3OC2=O)OC(=O)C4=CC=CO4)Cl,Active,40,,,yes
63,4257599,1850575,CCOC(=O)CC(=O)CSC1=C(C=CC(=N1)C2=CN=CC=C2)C#N,Active,40,,,yes
64,865540,5390049,C1CC2=C(C1)C(=O)OC3=C2C=CC(=C3CN4CCOCC4)O,Active,40,,,yes
65,26730947,2813126,CC1=CC(=O)OC2=C1C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3,Active,40,,,yes
66,853700,656359,CC1=C(C=CC(=C1)C2=NC3=C(O2)C=CC=N3)N,Active,40,,,yes
67,845846,648205,CN(C1=NN=C(S1)C2=CC=NC=C2)C(=O)C3CCCO3,Active,40,,,yes
68,4255191,5398663,C1=COC(=C1)CNC(=O)C2=CC3=C(C=C(C=C3)O)OC2=O,Active,40,,,yes
