smiles,absorption_max,emission_max
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,488.0,530.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,469.0,525.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,340.0,450.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,547.0,598.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,480.0,540.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,405.0,520.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,339.0,460.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,547.0,618.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,570.0,671.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,405.0,460.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,485.0,535.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,540.0,590.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,586.0,603.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,488.0,535.0
CCn1c(ccc(OC)c2)c2c(CN(CC2)CCC2(C2)OCCC2OCCO)c1,340.0,460.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,488.0,530.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,469.0,525.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,340.0,450.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,547.0,598.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,480.0,540.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,405.0,520.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,339.0,460.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,547.0,618.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,570.0,671.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,405.0,460.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,485.0,535.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,540.0,590.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,586.0,603.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,488.0,535.0
Cc1c(CC(N(CCN2CCCC2)C2CNCC2)=O)cccc1,340.0,460.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,488.0,530.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,469.0,525.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,340.0,450.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,547.0,598.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,480.0,540.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,405.0,520.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,339.0,460.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,547.0,618.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,570.0,671.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,405.0,460.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,485.0,535.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,540.0,590.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,586.0,603.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,488.0,535.0
O=C(Cc(cc1)ccc1F)N(CCN1CCCCC1)C1CNCC1,340.0,460.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,488.0,530.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,469.0,525.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,340.0,450.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,547.0,598.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,480.0,540.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,405.0,520.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,339.0,460.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,547.0,618.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,570.0,671.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,405.0,460.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,485.0,535.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,540.0,590.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,586.0,603.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,488.0,535.0
O=C(Cc1c[nH]c2c1cccc2)N(CCN1CCCC1)C1CNCCC1,340.0,460.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,488.0,530.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,469.0,525.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,340.0,450.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,547.0,598.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,480.0,540.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,405.0,520.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,339.0,460.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,547.0,618.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,570.0,671.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,405.0,460.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,485.0,535.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,540.0,590.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,586.0,603.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,488.0,535.0
O=S(c(cc1)ccc1Cl)(NCC(c1ccccc1)N1CCNCC1)=O,340.0,460.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,488.0,530.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,469.0,525.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,340.0,450.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,547.0,598.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,480.0,540.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,405.0,520.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,339.0,460.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,547.0,618.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,570.0,671.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,405.0,460.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,485.0,535.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,540.0,590.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,586.0,603.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,488.0,535.0
O=S(c1cc(F)ccc1)(N(CCN1CCCC1)C1CNCCC1)=O,340.0,460.0
