smiles,new_category
COC(=O)C1=CC(=NC=C1)/C=N/O,0.0
CCOC(=O)C1=C2C(=NS1)C(=O)NC=N2,1.0
CC1=CC(=C(C=C1)N(C(C2=CC=CO2)C(=O)NCCOC)C(=O)CN3C4=CC=CC=C4N=N3)C,1.0
CCOC1=CC(=C(C=C1)OCC)NC(=O)C2CCN(CC2)S(=O)(=O)C3=CN=CN3,0.0
CC1=C2C(=CC=C1)OCC3=C2SC(=C3)C(=O)N4CCCCC4,0.0
CN1C=C(C2=CC=CC=C21)C3=NC4=CN=C(N=C4N(C3=O)CCOC)N5CCNCC5,0.0
COC1=CC=CC=C1OCCC(=O)OCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,1.0
CCC(C)(C)N1C(=NN=N1)C(C2=CC3=CC(=C(C=C3NC2=O)OC)OC)N4CCC5=CC=CC=C54,0.0
CCCCN1C2=C(C=C(C=C2)S(=O)(=O)N)N=C1SCC(=O)N3CCC(CC3)C,0.0
CC(C)(C)NC(=O)CN1C2=CC=CC=C2N=C1SCC(=O)NC3CCCCC3,0.0
CC1=NC=C(C=C1)C2=NN=C(S2)N(C)C(=O)C3=CN=CC=C3,0.0
CCC1(CC)c2ccccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,1.0
CCC1(C(=O)N(C(=O)N1)CC2=CC(=C(O2)C)C(=O)OC)C3=CC(=CC=C3)Cl,0.0
C1=CC2=C(C=C1[N+](=O)[O-])C(=O)OC2=O,0.0
CCOC1=C(C=C(C=C1)CCNC(=O)C2CCN(CC2)C(=O)N(C)C)OCC,0.0
CC1=CC(=CC(=C1)C(=O)/C=C/2\NC(=O)CS2)C,0.0
C1CC(=O)N(C1)CCCNC(=O)C2=CC(=C(C=C2)Cl)NS(=O)(=O)C3=CC=C(C=C3)F,0.0
CC1=C(N=NN1C2=CC=CC=C2)C3=NN=C(N3C4=CC=CC=C4Br)SCC(=O)O.O,0.0
C1CN(CCN1C2=CC=CC=C2)C(=O)CSC3=NN(C=N3)C4=CC=CC=C4,0.0
CC1=CC=C(C=C1)N(C)C(=O)N2CCN(CC2)C3=CC=CC=N3,0.0
COC1=CC=C(C=C1)CNC(=O)C(C2=CC=CS2)N(C3CC3)C(=O)C4=CSN=N4,0.0
CN(CCNC(=O)C1CC(=O)N(C1)C2=CC(=C(C=C2)F)Cl)CC3=CC=CC=C3,0.0
COC1=C(C=C(C=C1)NC(=O)C2CC(=O)N(C2)C3=CC=CC=C3F)S(=O)(=O)N4CCCCC4,0.0
CC(C)CNC(=O)C(=O)NC1=CC=C(C=C1)N(C)C,0.0
